No,X_train_Index,X_train_Word,y_train_Index,y_train_Word
1,4,acut,222,respiratori
2,4,acut,122,infect
3,222,respiratori,4,acut
4,222,respiratori,122,infect
5,222,respiratori,62,covid
6,122,infect,4,acut
7,122,infect,222,respiratori
8,122,infect,62,covid
9,122,infect,225,risk
10,62,covid,222,respiratori
11,62,covid,122,infect
12,62,covid,225,risk
13,62,covid,208,predict
14,225,risk,122,infect
15,225,risk,62,covid
16,225,risk,208,predict
17,225,risk,262,travel
18,208,predict,62,covid
19,208,predict,225,risk
20,208,predict,262,travel
21,208,predict,215,random
22,262,travel,225,risk
23,262,travel,208,predict
24,262,travel,215,random
25,262,travel,94,forest
26,215,random,208,predict
27,215,random,262,travel
28,215,random,94,forest
29,215,random,172,model
30,94,forest,262,travel
31,94,forest,215,random
32,94,forest,172,model
33,94,forest,128,jingbo
34,172,model,215,random
35,172,model,94,forest
36,172,model,128,jingbo
37,172,model,287,yu
38,128,jingbo,94,forest
39,128,jingbo,172,model
40,128,jingbo,287,yu
41,128,jingbo,105,hao
42,287,yu,172,model
43,287,yu,128,jingbo
44,287,yu,105,hao
45,287,yu,287,yu
46,105,hao,128,jingbo
47,105,hao,287,yu
48,105,hao,287,yu
49,105,hao,30,b
50,287,yu,287,yu
51,287,yu,105,hao
52,287,yu,30,b
53,287,yu,289,yume
54,30,b,105,hao
55,30,b,287,yu
56,30,b,289,yume
57,30,b,270,wang
58,289,yume,287,yu
59,289,yume,30,b
60,289,yume,270,wang
61,289,yume,44,c
62,270,wang,30,b
63,270,wang,289,yume
64,270,wang,44,c
65,270,wang,210,qiang
66,44,c,289,yume
67,44,c,270,wang
68,44,c,210,qiang
69,44,c,291,zeng
70,210,qiang,270,wang
71,210,qiang,44,c
72,210,qiang,291,zeng
73,210,qiang,197,orthopaed
74,291,zeng,44,c
75,291,zeng,210,qiang
76,291,zeng,197,orthopaed
77,291,zeng,124,institut
78,197,orthopaed,210,qiang
79,197,orthopaed,291,zeng
80,197,orthopaed,124,institut
81,197,orthopaed,257,tianjin
82,124,institut,291,zeng
83,124,institut,197,orthopaed
84,124,institut,257,tianjin
85,124,institut,257,tianjin
86,257,tianjin,197,orthopaed
87,257,tianjin,124,institut
88,257,tianjin,257,tianjin
89,257,tianjin,110,hospit
90,257,tianjin,124,institut
91,257,tianjin,257,tianjin
92,257,tianjin,110,hospit
93,257,tianjin,257,tianjin
94,110,hospit,257,tianjin
95,110,hospit,257,tianjin
96,110,hospit,257,tianjin
97,110,hospit,200,peopl
98,257,tianjin,257,tianjin
99,257,tianjin,110,hospit
100,257,tianjin,200,peopl
101,257,tianjin,219,republ
102,200,peopl,110,hospit
103,200,peopl,257,tianjin
104,200,peopl,219,republ
105,200,peopl,49,china
106,219,republ,257,tianjin
107,219,republ,200,peopl
108,219,republ,49,china
109,219,republ,30,b
110,49,china,200,peopl
111,49,china,219,republ
112,49,china,30,b
113,49,china,124,institut
114,30,b,219,republ
115,30,b,49,china
116,30,b,124,institut
117,30,b,194,oper
118,124,institut,49,china
119,124,institut,30,b
120,124,institut,194,oper
121,124,institut,212,qualiti
122,194,oper,30,b
123,194,oper,124,institut
124,194,oper,212,qualiti
125,194,oper,59,control
126,212,qualiti,124,institut
127,212,qualiti,194,oper
128,212,qualiti,59,control
129,212,qualiti,257,tianjin
130,59,control,194,oper
131,59,control,212,qualiti
132,59,control,257,tianjin
133,59,control,47,center
134,257,tianjin,212,qualiti
135,257,tianjin,59,control
136,257,tianjin,47,center
137,257,tianjin,73,diseas
138,47,center,59,control
139,47,center,257,tianjin
140,47,center,73,diseas
141,47,center,59,control
142,73,diseas,257,tianjin
143,73,diseas,47,center
144,73,diseas,59,control
145,73,diseas,209,prevent
146,59,control,47,center
147,59,control,73,diseas
148,59,control,209,prevent
149,59,control,257,tianjin
150,209,prevent,73,diseas
151,209,prevent,59,control
152,209,prevent,257,tianjin
153,209,prevent,200,peopl
154,257,tianjin,59,control
155,257,tianjin,209,prevent
156,257,tianjin,200,peopl
157,257,tianjin,219,republ
158,200,peopl,209,prevent
159,200,peopl,257,tianjin
160,200,peopl,219,republ
161,200,peopl,49,china
162,219,republ,257,tianjin
163,219,republ,200,peopl
164,219,republ,49,china
165,219,republ,44,c
166,49,china,200,peopl
167,49,china,219,republ
168,49,china,44,c
169,49,china,236,school
170,44,c,219,republ
171,44,c,49,china
172,44,c,236,school
173,44,c,107,health
174,236,school,49,china
175,236,school,44,c
176,236,school,107,health
177,236,school,161,manag
178,107,health,44,c
179,107,health,236,school
180,107,health,161,manag
181,107,health,257,tianjin
182,161,manag,236,school
183,161,manag,107,health
184,161,manag,257,tianjin
185,161,manag,168,medic
186,257,tianjin,107,health
187,257,tianjin,161,manag
188,257,tianjin,168,medic
189,257,tianjin,54,colleg
190,168,medic,161,manag
191,168,medic,257,tianjin
192,168,medic,54,colleg
193,54,colleg,257,tianjin
194,54,colleg,168,medic
195,60,correl,92,field
196,60,correl,166,measur
197,92,field,60,correl
198,92,field,166,measur
199,92,field,103,grain
200,166,measur,60,correl
201,166,measur,92,field
202,166,measur,103,grain
203,166,measur,174,moistur
204,103,grain,92,field
205,103,grain,166,measur
206,103,grain,174,moistur
207,103,grain,58,content
208,174,moistur,166,measur
209,174,moistur,103,grain
210,174,moistur,58,content
211,174,moistur,44,c
212,58,content,103,grain
213,58,content,174,moistur
214,58,content,44,c
215,58,content,33,band
216,44,c,174,moistur
217,44,c,58,content
218,44,c,33,band
219,44,c,229,sar
220,33,band,58,content
221,33,band,44,c
222,33,band,229,sar
223,33,band,31,backscatt
224,229,sar,44,c
225,229,sar,33,band
226,229,sar,31,backscatt
227,229,sar,206,potenti
228,31,backscatt,33,band
229,31,backscatt,229,sar
230,31,backscatt,206,potenti
231,31,backscatt,266,use
232,206,potenti,229,sar
233,206,potenti,31,backscatt
234,206,potenti,266,use
235,206,potenti,241,sentinel
236,266,use,31,backscatt
237,266,use,206,potenti
238,266,use,241,sentinel
239,266,use,229,sar
240,241,sentinel,206,potenti
241,241,sentinel,266,use
242,241,sentinel,229,sar
243,241,sentinel,66,data
244,229,sar,266,use
245,229,sar,241,sentinel
246,229,sar,66,data
247,229,sar,84,estim
248,66,data,241,sentinel
249,66,data,229,sar
250,66,data,84,estim
251,66,data,195,optim
252,84,estim,229,sar
253,84,estim,66,data
254,84,estim,195,optim
255,84,estim,106,harvest
256,195,optim,66,data
257,195,optim,84,estim
258,195,optim,106,harvest
259,195,optim,258,time
260,106,harvest,84,estim
261,106,harvest,195,optim
262,106,harvest,258,time
263,106,harvest,224,rice
264,258,time,195,optim
265,258,time,106,harvest
266,258,time,224,rice
267,258,time,63,crop
268,224,rice,106,harvest
269,224,rice,258,time
270,224,rice,63,crop
271,224,rice,64,cultiv
272,63,crop,258,time
273,63,crop,224,rice
274,63,crop,64,cultiv
275,63,crop,243,shoko
276,64,cultiv,224,rice
277,64,cultiv,63,crop
278,64,cultiv,243,shoko
279,64,cultiv,140,kobayashia
280,243,shoko,63,crop
281,243,shoko,64,cultiv
282,243,shoko,140,kobayashia
283,243,shoko,130,john
284,140,kobayashia,64,cultiv
285,140,kobayashia,243,shoko
286,140,kobayashia,130,john
287,140,kobayashia,201,philip
288,130,john,243,shoko
289,130,john,140,kobayashia
290,130,john,201,philip
291,130,john,164,matthewsb
292,201,philip,140,kobayashia
293,201,philip,130,john
294,201,philip,164,matthewsb
295,201,philip,44,c
296,164,matthewsb,130,john
297,164,matthewsb,201,philip
298,164,matthewsb,44,c
299,164,matthewsb,2,acolleg
300,44,c,201,philip
301,44,c,164,matthewsb
302,44,c,2,acolleg
303,44,c,9,agricultur
304,2,acolleg,164,matthewsb
305,2,acolleg,44,c
306,2,acolleg,9,agricultur
307,2,acolleg,253,tamagawa
308,9,agricultur,44,c
309,9,agricultur,2,acolleg
310,9,agricultur,253,tamagawa
311,9,agricultur,265,univers
312,253,tamagawa,2,acolleg
313,253,tamagawa,9,agricultur
314,253,tamagawa,265,univers
315,253,tamagawa,253,tamagawa
316,265,univers,9,agricultur
317,265,univers,253,tamagawa
318,265,univers,253,tamagawa
319,265,univers,98,gakuen
320,253,tamagawa,253,tamagawa
321,253,tamagawa,265,univers
322,253,tamagawa,98,gakuen
323,253,tamagawa,157,machida
324,98,gakuen,265,univers
325,98,gakuen,253,tamagawa
326,98,gakuen,157,machida
327,98,gakuen,259,tokyo
328,157,machida,253,tamagawa
329,157,machida,98,gakuen
330,157,machida,259,tokyo
331,157,machida,127,japan
332,259,tokyo,98,gakuen
333,259,tokyo,157,machida
334,259,tokyo,127,japan
335,259,tokyo,37,benvironment
336,127,japan,157,machida
337,127,japan,259,tokyo
338,127,japan,37,benvironment
339,127,japan,231,satellit
340,37,benvironment,259,tokyo
341,37,benvironment,127,japan
342,37,benvironment,231,satellit
343,37,benvironment,20,applic
344,231,satellit,127,japan
345,231,satellit,37,benvironment
346,231,satellit,20,applic
347,231,satellit,82,ensa
348,20,applic,37,benvironment
349,20,applic,231,satellit
350,20,applic,82,ensa
351,20,applic,155,lli
352,82,ensa,231,satellit
353,82,ensa,20,applic
354,82,ensa,155,lli
355,82,ensa,29,awel
356,155,lli,20,applic
357,155,lli,82,ensa
358,155,lli,29,awel
359,155,lli,176,mount
360,29,awel,82,ensa
361,29,awel,155,lli
362,29,awel,176,mount
363,29,awel,249,street
364,176,mount,155,lli
365,176,mount,29,awel
366,176,mount,249,street
367,176,mount,169,menai
368,249,street,29,awel
369,249,street,176,mount
370,249,street,169,menai
371,249,street,41,bridg
372,169,menai,176,mount
373,169,menai,249,street
374,169,menai,41,bridg
375,169,menai,17,anglesey
376,41,bridg,249,street
377,41,bridg,169,menai
378,41,bridg,17,anglesey
379,41,bridg,86,ey
380,17,anglesey,169,menai
381,17,anglesey,41,bridg
382,17,anglesey,86,ey
383,17,anglesey,264,uk
384,86,ey,41,bridg
385,86,ey,17,anglesey
386,86,ey,264,uk
387,264,uk,17,anglesey
388,264,uk,86,ey
389,90,farm,147,level
390,90,farm,284,yield
391,147,level,90,farm
392,147,level,284,yield
393,147,level,208,predict
394,284,yield,90,farm
395,284,yield,147,level
396,284,yield,208,predict
397,284,yield,160,maiz
398,208,predict,147,level
399,208,predict,284,yield
400,208,predict,160,maiz
401,208,predict,224,rice
402,160,maiz,284,yield
403,160,maiz,208,predict
404,160,maiz,224,rice
405,160,maiz,36,bean
406,224,rice,208,predict
407,224,rice,160,maiz
408,224,rice,36,bean
409,224,rice,254,tanzania
410,36,bean,160,maiz
411,36,bean,224,rice
412,36,bean,254,tanzania
413,36,bean,266,use
414,254,tanzania,224,rice
415,254,tanzania,36,bean
416,254,tanzania,266,use
417,254,tanzania,158,machin
418,266,use,36,bean
419,266,use,254,tanzania
420,266,use,158,machin
421,266,use,146,learn
422,158,machin,254,tanzania
423,158,machin,266,use
424,158,machin,146,learn
425,158,machin,177,multi
426,146,learn,266,use
427,146,learn,158,machin
428,146,learn,177,multi
429,146,learn,246,sourc
430,177,multi,158,machin
431,177,multi,146,learn
432,177,multi,246,sourc
433,177,multi,9,agricultur
434,246,sourc,146,learn
435,246,sourc,177,multi
436,246,sourc,9,agricultur
437,246,sourc,66,data
438,9,agricultur,177,multi
439,9,agricultur,246,sourc
440,9,agricultur,66,data
441,9,agricultur,32,balli
442,66,data,246,sourc
443,66,data,9,agricultur
444,66,data,32,balli
445,66,data,193,omarya
446,32,balli,9,agricultur
447,32,balli,66,data
448,32,balli,193,omarya
449,32,balli,30,b
450,193,omarya,66,data
451,193,omarya,32,balli
452,193,omarya,30,b
453,193,omarya,179,mussa
454,30,b,32,balli
455,30,b,193,omarya
456,30,b,179,mussa
457,30,b,72,didaa
458,179,mussa,193,omarya
459,179,mussa,30,b
460,179,mussa,72,didaa
461,179,mussa,71,devotha
462,72,didaa,30,b
463,72,didaa,179,mussa
464,72,didaa,71,devotha
465,72,didaa,97,g
466,71,devotha,179,mussa
467,71,devotha,72,didaa
468,71,devotha,97,g
469,71,devotha,187,nyamboa
470,97,g,72,didaa
471,97,g,71,devotha
472,97,g,187,nyamboa
473,97,g,23,aschool
474,187,nyamboa,71,devotha
475,187,nyamboa,97,g
476,187,nyamboa,23,aschool
477,187,nyamboa,57,comput
478,23,aschool,97,g
479,23,aschool,187,nyamboa
480,23,aschool,57,comput
481,23,aschool,56,commun
482,57,comput,187,nyamboa
483,57,comput,23,aschool
484,57,comput,56,commun
485,57,comput,237,scienc
486,56,commun,23,aschool
487,56,commun,57,comput
488,56,commun,237,scienc
489,56,commun,81,engin
490,237,scienc,57,comput
491,237,scienc,56,commun
492,237,scienc,81,engin
493,237,scienc,53,cocs
494,81,engin,56,commun
495,81,engin,237,scienc
496,81,engin,53,cocs
497,81,engin,184,nelson
498,53,cocs,237,scienc
499,53,cocs,81,engin
500,53,cocs,184,nelson
501,53,cocs,162,mandela
502,184,nelson,81,engin
503,184,nelson,53,cocs
504,184,nelson,162,mandela
505,184,nelson,8,african
506,162,mandela,53,cocs
507,162,mandela,184,nelson
508,162,mandela,8,african
509,162,mandela,124,institut
510,8,african,184,nelson
511,8,african,162,mandela
512,8,african,124,institut
513,8,african,237,scienc
514,124,institut,162,mandela
515,124,institut,8,african
516,124,institut,237,scienc
517,124,institut,255,technolog
518,237,scienc,8,african
519,237,scienc,124,institut
520,237,scienc,255,technolog
521,237,scienc,186,nm
522,255,technolog,124,institut
523,255,technolog,237,scienc
524,255,technolog,186,nm
525,255,technolog,11,aist
526,186,nm,237,scienc
527,186,nm,255,technolog
528,186,nm,11,aist
529,186,nm,198,p
530,11,aist,255,technolog
531,11,aist,186,nm
532,11,aist,198,p
533,11,aist,40,box
534,198,p,186,nm
535,198,p,11,aist
536,198,p,40,box
537,198,p,22,arusha
538,40,box,11,aist
539,40,box,198,p
540,40,box,22,arusha
541,40,box,254,tanzania
542,22,arusha,198,p
543,22,arusha,40,box
544,22,arusha,254,tanzania
545,22,arusha,35,bdepart
546,254,tanzania,40,box
547,254,tanzania,22,arusha
548,254,tanzania,35,bdepart
549,254,tanzania,57,comput
550,35,bdepart,22,arusha
551,35,bdepart,254,tanzania
552,35,bdepart,57,comput
553,35,bdepart,237,scienc
554,57,comput,254,tanzania
555,57,comput,35,bdepart
556,57,comput,237,scienc
557,57,comput,81,engin
558,237,scienc,35,bdepart
559,237,scienc,57,comput
560,237,scienc,81,engin
561,237,scienc,165,mbeya
562,81,engin,57,comput
563,81,engin,237,scienc
564,81,engin,165,mbeya
565,81,engin,265,univers
566,165,mbeya,237,scienc
567,165,mbeya,81,engin
568,165,mbeya,265,univers
569,165,mbeya,237,scienc
570,265,univers,81,engin
571,265,univers,165,mbeya
572,265,univers,237,scienc
573,265,univers,255,technolog
574,237,scienc,165,mbeya
575,237,scienc,265,univers
576,237,scienc,255,technolog
577,237,scienc,180,must
578,255,technolog,265,univers
579,255,technolog,237,scienc
580,255,technolog,180,must
581,180,must,237,scienc
582,180,must,255,technolog
583,58,content,152,list
584,58,content,28,avail
585,152,list,58,content
586,152,list,28,avail
587,152,list,238,sciencedirect
588,28,avail,58,content
589,28,avail,152,list
590,28,avail,238,sciencedirect
591,28,avail,223,result
592,238,sciencedirect,152,list
593,238,sciencedirect,28,avail
594,238,sciencedirect,223,result
595,238,sciencedirect,81,engin
596,223,result,28,avail
597,223,result,238,sciencedirect
598,223,result,81,engin
599,223,result,131,journal
600,81,engin,238,sciencedirect
601,81,engin,223,result
602,81,engin,131,journal
603,81,engin,109,homepag
604,131,journal,223,result
605,131,journal,81,engin
606,131,journal,109,homepag
607,131,journal,276,www
608,109,homepag,81,engin
609,109,homepag,131,journal
610,109,homepag,276,www
611,109,homepag,238,sciencedirect
612,276,www,131,journal
613,276,www,109,homepag
614,276,www,238,sciencedirect
615,276,www,55,com
616,238,sciencedirect,109,homepag
617,238,sciencedirect,276,www
618,238,sciencedirect,55,com
619,238,sciencedirect,131,journal
620,55,com,276,www
621,55,com,238,sciencedirect
622,55,com,131,journal
623,55,com,223,result
624,131,journal,238,sciencedirect
625,131,journal,55,com
626,131,journal,223,result
627,131,journal,81,engin
628,223,result,55,com
629,223,result,131,journal
630,223,result,81,engin
631,223,result,220,research
632,81,engin,131,journal
633,81,engin,223,result
634,81,engin,220,research
635,81,engin,199,paper
636,220,research,223,result
637,220,research,81,engin
638,220,research,199,paper
639,220,research,195,optim
640,199,paper,81,engin
641,199,paper,220,research
642,199,paper,195,optim
643,199,paper,224,rice
644,195,optim,220,research
645,195,optim,199,paper
646,195,optim,224,rice
647,195,optim,284,yield
648,224,rice,199,paper
649,224,rice,195,optim
650,224,rice,284,yield
651,224,rice,208,predict
652,284,yield,195,optim
653,284,yield,224,rice
654,284,yield,208,predict
655,284,yield,205,polici
656,208,predict,224,rice
657,208,predict,284,yield
658,208,predict,205,polici
659,208,predict,196,orient
660,205,polici,284,yield
661,205,polici,208,predict
662,205,polici,196,orient
663,205,polici,21,approach
664,196,orient,208,predict
665,196,orient,205,polici
666,196,orient,21,approach
667,196,orient,9,agricultur
668,21,approach,205,polici
669,21,approach,196,orient
670,21,approach,9,agricultur
671,21,approach,251,sustain
672,9,agricultur,196,orient
673,9,agricultur,21,approach
674,9,agricultur,251,sustain
675,9,agricultur,230,sarukb
676,251,sustain,21,approach
677,251,sustain,9,agricultur
678,251,sustain,230,sarukb
679,251,sustain,175,mokesh
680,230,sarukb,9,agricultur
681,230,sarukb,251,sustain
682,230,sarukb,175,mokesh
683,230,sarukb,216,rayalug
684,175,mokesh,251,sustain
685,175,mokesh,230,sarukb
686,175,mokesh,216,rayalug
687,175,mokesh,236,school
688,216,rayalug,230,sarukb
689,216,rayalug,175,mokesh
690,216,rayalug,236,school
691,216,rayalug,7,advanc
692,236,school,175,mokesh
693,236,school,216,rayalug
694,236,school,7,advanc
695,236,school,237,scienc
696,7,advanc,216,rayalug
697,7,advanc,236,school
698,7,advanc,237,scienc
699,7,advanc,268,vellor
700,237,scienc,236,school
701,237,scienc,7,advanc
702,237,scienc,268,vellor
703,237,scienc,124,institut
704,268,vellor,7,advanc
705,268,vellor,237,scienc
706,268,vellor,124,institut
707,268,vellor,255,technolog
708,124,institut,237,scienc
709,124,institut,268,vellor
710,124,institut,255,technolog
711,124,institut,268,vellor
712,255,technolog,268,vellor
713,255,technolog,124,institut
714,255,technolog,268,vellor
715,255,technolog,119,india
716,268,vellor,124,institut
717,268,vellor,255,technolog
718,268,vellor,119,india
719,268,vellor,214,r
720,119,india,255,technolog
721,119,india,268,vellor
722,119,india,214,r
723,119,india,44,c
724,214,r,268,vellor
725,214,r,119,india
726,214,r,44,c
727,214,r,143,l
728,44,c,119,india
729,44,c,214,r
730,44,c,143,l
731,44,c,79,e
732,143,l,214,r
733,143,l,44,c
734,143,l,79,e
735,143,l,181,n
736,79,e,44,c
737,79,e,143,l
738,79,e,181,n
739,79,e,87,f
740,181,n,143,l
741,181,n,79,e
742,181,n,87,f
743,181,n,30,b
744,87,f,79,e
745,87,f,181,n
746,87,f,30,b
747,87,f,214,r
748,30,b,181,n
749,30,b,87,f
750,30,b,214,r
751,30,b,44,c
752,214,r,87,f
753,214,r,30,b
754,214,r,44,c
755,214,r,138,keyword
756,44,c,30,b
757,44,c,214,r
758,44,c,138,keyword
759,44,c,224,rice
760,138,keyword,214,r
761,138,keyword,44,c
762,138,keyword,224,rice
763,138,keyword,284,yield
764,224,rice,44,c
765,224,rice,138,keyword
766,224,rice,284,yield
767,224,rice,208,predict
768,284,yield,138,keyword
769,284,yield,224,rice
770,284,yield,208,predict
771,284,yield,158,machin
772,208,predict,224,rice
773,208,predict,284,yield
774,208,predict,158,machin
775,158,machin,284,yield
776,158,machin,208,predict
777,131,journal,190,ofintegr
778,131,journal,9,agricultur
779,190,ofintegr,131,journal
780,190,ofintegr,9,agricultur
781,190,ofintegr,288,yuchenwu
782,9,agricultur,131,journal
783,9,agricultur,190,ofintegr
784,9,agricultur,288,yuchenwu
785,9,agricultur,79,e
786,288,yuchenwu,190,ofintegr
787,288,yuchenwu,9,agricultur
788,288,yuchenwu,79,e
789,288,yuchenwu,159,mail
790,79,e,9,agricultur
791,79,e,288,yuchenwu
792,79,e,159,mail
793,79,e,211,qq
794,159,mail,288,yuchenwu
795,159,mail,79,e
796,159,mail,211,qq
797,159,mail,55,com
798,211,qq,79,e
799,211,qq,159,mail
800,211,qq,55,com
801,211,qq,61,correspond
802,55,com,159,mail
803,55,com,211,qq
804,55,com,61,correspond
805,55,com,27,author
806,61,correspond,211,qq
807,61,correspond,55,com
808,61,correspond,27,author
809,61,correspond,79,e
810,27,author,55,com
811,27,author,61,correspond
812,27,author,79,e
813,27,author,159,mail
814,79,e,61,correspond
815,79,e,27,author
816,79,e,159,mail
817,79,e,271,wanglihua
818,159,mail,27,author
819,159,mail,79,e
820,159,mail,271,wanglihua
821,159,mail,183,nbu
822,271,wanglihua,79,e
823,271,wanglihua,159,mail
824,271,wanglihua,183,nbu
825,271,wanglihua,80,edu
826,183,nbu,159,mail
827,183,nbu,271,wanglihua
828,183,nbu,80,edu
829,183,nbu,52,cnphase
830,80,edu,271,wanglihua
831,80,edu,183,nbu
832,80,edu,52,cnphase
833,80,edu,78,dynam
834,52,cnphase,183,nbu
835,52,cnphase,80,edu
836,52,cnphase,78,dynam
837,52,cnphase,12,analysi
838,78,dynam,80,edu
839,78,dynam,52,cnphase
840,78,dynam,12,analysi
841,78,dynam,15,andpredict
842,12,analysi,52,cnphase
843,12,analysi,78,dynam
844,12,analysi,15,andpredict
845,12,analysi,192,ofricechilosuppressali
846,15,andpredict,78,dynam
847,15,andpredict,12,analysi
848,15,andpredict,192,ofricechilosuppressali
849,15,andpredict,125,integr
850,192,ofricechilosuppressali,12,analysi
851,192,ofricechilosuppressali,15,andpredict
852,192,ofricechilosuppressali,125,integr
853,192,ofricechilosuppressali,218,remot
854,125,integr,15,andpredict
855,125,integr,192,ofricechilosuppressali
856,125,integr,218,remot
857,125,integr,240,sens
858,218,remot,192,ofricechilosuppressali
859,218,remot,125,integr
860,218,remot,240,sens
861,218,remot,202,physiolog
862,240,sens,125,integr
863,240,sens,218,remot
864,240,sens,202,physiolog
865,240,sens,121,indic
866,202,physiolog,218,remot
867,202,physiolog,240,sens
868,202,physiolog,121,indic
869,202,physiolog,14,andenvironment
870,121,indic,240,sens
871,121,indic,202,physiolog
872,121,indic,14,andenvironment
873,121,indic,88,factor
874,14,andenvironment,202,physiolog
875,14,andenvironment,121,indic
876,14,andenvironment,88,factor
877,14,andenvironment,288,yuchenwu
878,88,factor,121,indic
879,88,factor,14,andenvironment
880,88,factor,288,yuchenwu
881,88,factor,151,lihuawang
882,288,yuchenwu,14,andenvironment
883,288,yuchenwu,88,factor
884,288,yuchenwu,151,lihuawang
885,288,yuchenwu,282,yanxiaobao
886,151,lihuawang,88,factor
887,151,lihuawang,288,yuchenwu
888,151,lihuawang,282,yanxiaobao
889,151,lihuawang,274,weiweisun
890,282,yanxiaobao,288,yuchenwu
891,282,yanxiaobao,151,lihuawang
892,282,yanxiaobao,274,weiweisun
893,282,yanxiaobao,296,zhiyuanyao
894,274,weiweisun,151,lihuawang
895,274,weiweisun,282,yanxiaobao
896,274,weiweisun,296,zhiyuanyao
897,274,weiweisun,99,gangyang
898,296,zhiyuanyao,282,yanxiaobao
899,296,zhiyuanyao,274,weiweisun
900,296,zhiyuanyao,99,gangyang
